nama,latitude,longitude
Gerai Kopi 1,3.607186856612045,98.68164694279533
Gerai Kopi 2,3.582790754152403,98.69829211942563
Gerai Kopi 3,3.614263386501107,98.65626345217221
Gerai Kopi 4,3.6115168512620297,98.68526973891662
Gerai Kopi 5,3.5783221024562604,98.69437024017434
Gerai Kopi 6,3.6133463292287504,98.65533708098572
Gerai Kopi 7,3.606167849086264,98.67454687902138
Gerai Kopi 8,3.573300328669948,98.68995084988303
Gerai Kopi 9,3.6111486755186624,98.65845698933039
Gerai Kopi 10,3.601567903697915,98.67655078519466
Gerai Kopi 11,3.586062595075686,98.69129689479806
Gerai Kopi 12,3.615470112818752,98.65150100725515
Gerai Kopi 13,3.6030224691018993,98.68264369035884
Gerai Kopi 14,3.5755960256903108,98.69370279207338
Gerai Kopi 15,3.612797445240325,98.65603322500083
Gerai Kopi 16,3.6027931735510825,98.68960911273804
Gerai Kopi 17,3.580146011101048,98.68796915628418
Gerai Kopi 18,3.618490179648413,98.65231662540012
Gerai Kopi 19,3.606035454380019,98.67436131950448
Gerai Kopi 20,3.5748872558044065,98.69298744494347
Gerai Kopi 21,3.618153866319982,98.65788547312476
Gerai Kopi 22,3.604737406870447,98.68099558521766
Gerai Kopi 23,3.57428591203853,98.68932062316642
Gerai Kopi 24,3.613357444916161,98.66142848890487
Gerai Kopi 25,3.6065744731582736,98.67514783937855
Gerai Kopi 26,3.581496335877579,98.69065967087833
Gerai Kopi 27,3.612492311998776,98.65964670515537
Gerai Kopi 28,3.609323998089984,98.68592512047647
Gerai Kopi 29,3.5768431299071093,98.6909631504966
Gerai Kopi 30,3.6165250537256144,98.6611021805085
Gerai Kopi 31,3.603283303048619,98.68145736409335
Gerai Kopi 32,3.575774660103976,98.68741517350368
Gerai Kopi 33,3.618450103289577,98.66262496011429
Gerai Kopi 34,3.6049119595136787,98.68621413159158
Gerai Kopi 35,3.581646544100191,98.68961952098158
Gerai Kopi 36,3.616645582422034,98.66335214626586
Gerai Kopi 37,3.6050566958435604,98.68845857462327
Gerai Kopi 38,3.569721019583641,98.6954876100175
Gerai Kopi 39,3.6155481882729528,98.65600397059814
Gerai Kopi 40,3.605567043106142,98.6742497243416
Gerai Kopi 41,3.57932131244865,98.69362845028604
Gerai Kopi 42,3.6211115761789663,98.65512691912691
Gerai Kopi 43,3.6019660255884274,98.68019297182568
Gerai Kopi 44,3.583861608470808,98.69351500443864
Gerai Kopi 45,3.613080959184932,98.65925306973246
Gerai Kopi 46,3.6055883101973922,98.68607457996214
Gerai Kopi 47,3.5773917876244905,98.6908893514136
Gerai Kopi 48,3.6136315673874715,98.65134594020748
Gerai Kopi 49,3.6063844811082584,98.68324422108873
Gerai Kopi 50,3.58022045382657,98.6912616514665
Gerai Kopi 51,3.6095385170317984,98.65551741870894
Gerai Kopi 52,3.603829141933893,98.67899089092312
Gerai Kopi 53,3.579554857153336,98.69381620342726
Gerai Kopi 54,3.622744743604842,98.65789831125133
Gerai Kopi 55,3.606230201562891,98.68190221633695
Gerai Kopi 56,3.572524915138804,98.6920939444982
Gerai Kopi 57,3.6154409208397644,98.66705296844995
Gerai Kopi
